code,name,department_code,description
15720,Sativanorte,15,Sativanorte
15723,Sativasur,15,Sativasur
15740,Siachoque,15,Siachoque
15753,Soatá,15,Soatá
15755,Socotá,15,Socotá
15757,Socha,15,Socha
15759,Sogamoso,15,Sogamoso
15761,Somondoco,15,Somondoco
15762,Sora,15,Sora
15763,Sotaquirá,15,Sotaquirá
15764,Soracá,15,Soracá
15774,Susacón,15,Susacón
15776,Sutamarchán,15,Sutamarchán
15778,Sutatenza,15,Sutatenza
15790,Tasco,15,Tasco
15798,Tenza,15,Tenza
15804,Tibaná,15,Tibaná
15806,Tibasosa,15,Tibasosa
15808,Tinjacá,15,Tinjacá
15810,Tipacoque,15,Tipacoque
15814,Toca,15,Toca
15816,Togüí,15,Togüí
15820,Tópaga,15,Tópaga
15822,Tota,15,Tota
15832,Tununguá,15,Tununguá
15835,Turmequé,15,Turmequé
15837,Tuta,15,Tuta
15839,Tutazá,15,Tutazá
15842,Úmbita,15,Úmbita
15861,Ventaquemada,15,Ventaquemada
15879,Viracachá,15,Viracachá
15897,Zetaquira,15,Zetaquira
17001,Manizales,17,Manizales
17013,Aguadas,17,Aguadas
17042,Anserma,17,Anserma
17050,Aranzazu,17,Aranzazu
17088,Belalcázar,17,Belalcázar
17174,Chinchiná,17,Chinchiná
17272,Filadelfia,17,Filadelfia
17380,La Dorada,17,La Dorada
17388,La Merced,17,La Merced
17433,Manzanares,17,Manzanares
17442,Marmato,17,Marmato
17444,Marquetalia,17,Marquetalia
17446,Marulanda,17,Marulanda
17486,Neira,17,Neira
17495,Norcasia,17,Norcasia
17513,Pácora,17,Pácora
17524,Palestina,17,Palestina
17541,Pensilvania,17,Pensilvania
17614,Riosucio,17,Riosucio
17616,Risaralda,17,Risaralda
17653,Salamina,17,Salamina
17662,Samaná,17,Samaná
17665,San José,17,San José
17777,Supía,17,Supía
17867,Victoria,17,Victoria
17873,Villamaría,17,Villamaría
17877,Viterbo,17,Viterbo
18001,Florencia,18,Florencia
18029,Albania,18,Albania
18094,Belén De Los Andaquíes,18,Belén De Los Andaquíes
18150,Cartagena Del Chairá,18,Cartagena Del Chairá
18205,Curillo,18,Curillo
18247,El Doncello,18,El Doncello
18256,El Paujíl,18,El Paujíl
18410,La Montañita,18,La Montañita
18460,Milán,18,Milán
18479,Morelia,18,Morelia
18592,Puerto Rico,18,Puerto Rico
18610,San José Del Fragua,18,San José Del Fragua
18753,San Vicente Del Caguán,18,San Vicente Del Caguán
18756,Solano,18,Solano
18785,Solita,18,Solita
18860,Valparaíso,18,Valparaíso
19001,Popayán,19,Popayán
19022,Almaguer,19,Almaguer
19050,Argelia,19,Argelia
19075,Balboa,19,Balboa
19100,Bolívar,19,Bolívar
19110,Buenos Aires,19,Buenos Aires
19130,Cajibío,19,Cajibío
19137,Caldono,19,Caldono
19142,Caloto,19,Caloto
19212,Corinto,19,Corinto
19256,El Tambo,19,El Tambo
19290,Florencia,19,Florencia
19300,Guachené,19,Guachené
19318,Guapí,19,Guapí
19355,Inzá,19,Inzá
19364,Jambaló,19,Jambaló
19392,La Sierra,19,La Sierra
19397,La Vega,19,La Vega
19418,López De Micay,19,López De Micay
19450,Mercaderes,19,Mercaderes
19455,Miranda,19,Miranda
19473,Morales,19,Morales
19513,Padilla,19,Padilla
19517,Páez,19,Páez
19532,Patía,19,Patía
19533,Piamonte,19,Piamonte
19548,Piendamó - Tunía,19,Piendamó - Tunía
19573,Puerto Tejada,19,Puerto Tejada
19585,Puracé,19,Puracé
19622,Rosas,19,Rosas
19693,San Sebastián,19,San Sebastián
19698,Santander De Quilichao,19,Santander De Quilichao
19701,Santa Rosa,19,Santa Rosa
19743,Silvia,19,Silvia
19760,Sotara,19,Sotara
19780,Suárez,19,Suárez
19785,Sucre,19,Sucre
19807,Timbío,19,Timbío
19809,Timbiquí,19,Timbiquí
19821,Toribío,19,Toribío
19824,Totoró,19,Totoró
19845,Villa Rica,19,Villa Rica
20001,Valledupar,20,Valledupar
20011,Aguachica,20,Aguachica
20013,Agustín Codazzi,20,Agustín Codazzi
20032,Astrea,20,Astrea
20045,Becerril,20,Becerril
20060,Bosconia,20,Bosconia
20175,Chimichagua,20,Chimichagua
20178,Chiriguaná,20,Chiriguaná
20228,Curumaní,20,Curumaní
